"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 02 17:51:36 CST 2023","Fri Jun 02 17:51:48 CST 2023","11990","test","test_05_newcart","TestNewcart","","","test_new_cart",""
"passed","Fri Jun 02 17:49:46 CST 2023","Fri Jun 02 17:49:52 CST 2023","6452","test","test_01_login","TestLogin","","","test_login[13267872396-ma13267872396-myx_mnb]",""
"passed","Fri Jun 02 17:50:43 CST 2023","Fri Jun 02 17:50:54 CST 2023","10985","test","test_03_shopping","TestShopping","","","test_shopping",""
"passed","Fri Jun 02 17:51:06 CST 2023","Fri Jun 02 17:51:27 CST 2023","20808","test","test_04_pinggu","TestPinggu","","","test_pinggu",""
"passed","Fri Jun 02 17:49:19 CST 2023","Fri Jun 02 17:49:26 CST 2023","6790","test","test_01_login","TestLogin","","","test_login[-ma13267872396-\u60a8\u8fd8\u672a\u8f93\u5165\u7528\u6237\u540d]",""
"passed","Fri Jun 02 17:49:26 CST 2023","Fri Jun 02 17:49:32 CST 2023","6732","test","test_01_login","TestLogin","","","test_login[13267872396--\u60a8\u8fd8\u672a\u8f93\u5165\u5bc6\u7801]",""
"passed","Fri Jun 02 17:49:32 CST 2023","Fri Jun 02 17:49:39 CST 2023","6742","test","test_01_login","TestLogin","","","test_login[13267872396-Ma123-\u5bc6\u7801\u957f\u5ea6\u4e3a6-16\u4f4d\uff0c\u4e14\u4e0d\u80fd\u662f\u76f8\u540c\u6216\u8fde\u7eed\u5b57\u7b26]",""
"passed","Fri Jun 02 17:50:05 CST 2023","Fri Jun 02 17:50:34 CST 2023","28691","test","test_02_jianli","TestJianli","","","test_jianli",""
"passed","Fri Jun 02 17:49:39 CST 2023","Fri Jun 02 17:49:46 CST 2023","6781","test","test_01_login","TestLogin","","","test_login[13267872396-Ma13267872396-\u8be5\u7528\u6237\u540d\u4e0e\u5bc6\u7801\u4e0d\u7b26]",""
